,0,1,7,
949,3373.874207,58,59,58
950,3374.791562,58,59,58
951,3375.879159,58,59,58
952,3376.868393,58,59,58
953,3377.898825,58,59,58
954,3378.918514,58,60,59
955,3379.864266,58,59,58
956,3380.838773,58,61,60
957,3381.904533,58,60,59
958,3382.94405,60,60,59
959,3384.791306,60,59,58
960,3385.671824,60,59,58
961,3386.746177,60,60,59
962,3387.779535,60,60,59
963,3388.742432,60,59,58
964,3389.888566,60,60,59
965,3390.856751,60,59,58
966,3391.927817,60,60,59
967,3393.813166,60,60,59
968,3394.804456,62,60,59
969,3395.862435,62,60,59
970,3396.919429,62,61,60
971,3398.064653,62,60,59
972,3399.846999,62,60,59
973,3400.802693,62,61,60
974,3401.955936,62,61,60
975,3403.877562,62,61,60
976,3404.912696,62,60,59
977,3405.865715,62,61,60
978,3406.852996,64,60,59
979,3407.976533,64,61,60
980,3409.906192,64,61,60
981,3410.985305,64,61,60
982,3412.942278,64,61,60
983,3414.931668,64,61,60
984,3416.802752,64,61,60
985,3417.964538,64,62,61
986,3419.852193,64,61,60
987,3420.869481,64,61,60
988,3421.916818,66,61,60
989,3422.789883,66,62,61
990,3423.778712,66,61,60
991,3424.872512,66,61,60
992,3425.843939,66,61,60
993,3427.004148,66,62,61
994,3428.870492,66,61,60
995,3429.872091,66,62,61
